"geneid","gene_index","padj","SYMBOL"
"ENSG00000182903",12888,2.9405802537289e-26,"ZNF721"
"ENSG00000065485",11490,3.27018734590663e-26,"PDIA5"
"ENSG00000199831",1761,3.96252876164537e-26,"RN7SKP291"
"ENSG00000259341",46408,4.1341234508429e-26,"RP11-20G13.1"
"ENSG00000228898",7631,4.73888386901589e-26,"MTCO1P43"
"ENSG00000181544",24758,5.14447879563004e-26,"FANCB"
"ENSG00000186628",46020,5.74892583515155e-26,"FSD2"
"ENSG00000246211",33968,6.33154298694162e-26,"RP11-632K5.3"
"ENSG00000242170",29133,6.4594472639328e-26,"RN7SL329P"
"ENSG00000264881",354,7.14025950226302e-26,"MIR1273D"
"ENSG00000123427",39077,7.22879248359174e-26,"METTL21B"
"ENSG00000285745",15436,7.84507032418372e-26,NA
"ENSG00000231839",24333,8.54444755545678e-26,"AC073055.2"
"ENSG00000286368",18872,8.5742662484861e-26,NA
"ENSG00000200503",44508,9.65841500581889e-26,"SNORD115-5"
"ENSG00000241135",12139,9.99121172556829e-26,"LINC00881"
"ENSG00000257529",25998,1.05573562580868e-25,"RPL36A-HNRNPH2"
"ENSG00000288001",41658,1.06866386158198e-25,NA
"ENSG00000139209",38506,1.16216485797679e-25,"SLC38A4"
"ENSG00000064999",19559,1.29537110980499e-25,"ANKS1A"
"ENSG00000199672",5035,1.34285845061716e-25,"RNU4-21P"
"ENSG00000235837",21854,1.46133594595763e-25,"AC073333.8"
"ENSG00000167193",49088,1.58603326753532e-25,"CRK"
"ENSG00000259132",42343,1.79180009306191e-25,"RP11-298I3.5"
"ENSG00000279315",37165,1.89454749041078e-25,"RP11-57H14.5"
"ENSG00000157992",5939,2.55453004304888e-25,"KRTCAP3"
"ENSG00000167910",28159,2.55453004304888e-25,"CYP7A1"
"ENSG00000111424",38538,2.61250688871814e-25,"VDR"
"ENSG00000254988",34060,2.61250688871814e-25,"CTD-2547H18.1"
"ENSG00000123191",41269,2.85527990623029e-25,"ATP7B"
"ENSG00000257663",38731,3.01570392199719e-25,"RP11-1100L3.7"
"ENSG00000155876",29736,3.13814087536014e-25,"RRAGA"
"ENSG00000272079",46767,3.16068834718999e-25,"LA16c-380H5.5"
"ENSG00000285867",3305,3.24008680115557e-25,NA
"ENSG00000225460",30736,3.26110729470664e-25,"RP13-93L13.1"
"ENSG00000280711",14691,3.27280402310842e-25,"JADRR"
"ENSG00000275043",33440,3.29756572389355e-25,"SNORD25"
"ENSG00000279379",13268,3.34122461168123e-25,"RP11-84N19.1"
"ENSG00000272516",35576,3.36973863039415e-25,"RP11-573G6.9"
"ENSG00000228968",7360,3.52908352521725e-25,"AC096554.1"
"ENSG00000143379",3152,3.5495414793454e-25,"SETDB1"
"ENSG00000249784",12941,3.71952417912402e-25,"SCARNA22"
"ENSG00000135898",9383,3.84167235148171e-25,"GPR55"
"ENSG00000242330",43252,3.84167235148171e-25,"RN7SL683P"
"ENSG00000124357",6673,3.98619337722133e-25,"NAGK"
"ENSG00000258884",43585,4.00676102358051e-25,"CTD-3035D6.2"
"ENSG00000254544",32519,4.26706452926628e-25,"PCNAP4"
"ENSG00000259199",46377,4.27713572924254e-25,"CTD-2544M6.1"
"ENSG00000236988",25966,4.31574793992747e-25,"RP11-402K9.1"
"ENSG00000251548",15759,4.792362392488e-25,"RP11-215G15.4"
"ENSG00000215374",27145,4.85107581432655e-25,"FAM66B"
"ENSG00000236296",14861,4.85107581432655e-25,"GUSBP5"
"ENSG00000154118",48937,5.16238988321049e-25,"JPH3"
"ENSG00000281692",21427,5.48117172868099e-25,"PACRG-AS1"
"ENSG00000224028",8019,5.88748257349527e-25,"AC073928.2"
"ENSG00000226694",35225,5.88748257349527e-25,"RP11-69C17.2"
"ENSG00000163888",12544,6.2307092138607e-25,"CAMK2N2"
"ENSG00000235267",5941,6.34410385520676e-25,"AC074117.13"
"ENSG00000033800",45599,6.54493591354928e-25,"PIAS1"
"ENSG00000222030",6414,6.82103362822842e-25,"AC007131.1"
"ENSG00000221996",32062,7.34480399978259e-25,"OR52B4"
"ENSG00000272129",20258,7.96626421943595e-25,"RP11-250B2.6"
"ENSG00000225605",2048,8.02055136712209e-25,"RP11-550H2.1"
"ENSG00000233569",31251,8.90287544472095e-25,"RP11-500B12.1"
"ENSG00000111536",39261,9.3773210611631e-25,"IL26"
"ENSG00000248633",14505,9.6758072784123e-25,"WRBP1"
"ENSG00000188403",44275,9.74980302609174e-25,"IGHV1OR15-9"
"ENSG00000140350",45610,1.01146273728006e-24,"ANP32A"
"ENSG00000197006",47274,1.01146273728006e-24,"METTL9"
"ENSG00000066322",1401,1.0191781442893e-24,"ELOVL1"
"ENSG00000225816",21833,1.04532946607262e-24,"GTF3AP5"
"ENSG00000232267",25585,1.0800223045961e-24,"ACTR3P2"
"ENSG00000213190",3163,1.08870559113574e-24,"MLLT11"
"ENSG00000197506",30647,1.19218735175479e-24,"SLC28A3"
"ENSG00000279057",46737,1.20252070094968e-24,"CTD-3126B10.5"
"ENSG00000187764",30734,1.21551167087825e-24,"SEMA4D"
"ENSG00000226268",32977,1.29546924615751e-24,"RP11-61N20.3"
"ENSG00000065243",2217,1.37528091873224e-24,"PKN2"
"ENSG00000158715",4520,1.45119398206787e-24,"SLC45A3"
"ENSG00000231178",21373,1.5523097947785e-24,"RP11-125D12.1"
