study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	fastq_ftp
PRJEB2784	SAMEA1499242	ERS158756	ERX140376	ERR164499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164499/ERR164499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164499/ERR164499_2.fastq.gz
PRJEB2784	SAMEA1499379	ERS158757	ERX140377	ERR164500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164500/ERR164500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164500/ERR164500_2.fastq.gz
PRJEB2784	SAMEA1499369	ERS158758	ERX140378	ERR164501	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164501/ERR164501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164501/ERR164501_2.fastq.gz
PRJEB2784	SAMEA1499348	ERS158759	ERX140379	ERR164502	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164502/ERR164502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164502/ERR164502_2.fastq.gz
PRJEB2784	SAMEA1499318	ERS158760	ERX140380	ERR164503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164503/ERR164503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164503/ERR164503_2.fastq.gz
PRJEB2784	SAMEA1499307	ERS158761	ERX140381	ERR164504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164504/ERR164504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164504/ERR164504_2.fastq.gz
PRJEB2784	SAMEA1499314	ERS158762	ERX140382	ERR164505	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164505/ERR164505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164505/ERR164505_2.fastq.gz
PRJEB2784	SAMEA1499248	ERS167309	ERX140383	ERR164506	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164506/ERR164506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164506/ERR164506_2.fastq.gz
PRJEB2784	SAMEA1499375	ERS158763	ERX140384	ERR164507	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164507/ERR164507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164507/ERR164507_2.fastq.gz
PRJEB2784	SAMEA1499354	ERS158764	ERX140385	ERR164508	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164508/ERR164508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164508/ERR164508_2.fastq.gz
PRJEB2784	SAMEA1499262	ERS158765	ERX140386	ERR164509	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164509/ERR164509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164509/ERR164509_2.fastq.gz
PRJEB2784	SAMEA1499236	ERS158766	ERX140387	ERR164510	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164510/ERR164510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164510/ERR164510_2.fastq.gz
PRJEB2784	SAMEA1499294	ERS158767	ERX140388	ERR164511	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164511/ERR164511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164511/ERR164511_2.fastq.gz
PRJEB2784	SAMEA1499275	ERS158768	ERX140389	ERR164512	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164512/ERR164512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164512/ERR164512_2.fastq.gz
PRJEB2784	SAMEA1499269	ERS158769	ERX140390	ERR164513	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164513/ERR164513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164513/ERR164513_2.fastq.gz
PRJEB2784	SAMEA1499351	ERS158770	ERX140391	ERR164514	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164514/ERR164514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164514/ERR164514_2.fastq.gz
PRJEB2784	SAMEA1499374	ERS158771	ERX140392	ERR164515	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164515/ERR164515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164515/ERR164515_2.fastq.gz
PRJEB2784	SAMEA1499283	ERS158772	ERX140393	ERR164516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164516/ERR164516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164516/ERR164516_2.fastq.gz
PRJEB2784	SAMEA1499298	ERS158773	ERX140394	ERR164517	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164517/ERR164517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164517/ERR164517_2.fastq.gz
PRJEB2784	SAMEA1499271	ERS158774	ERX140395	ERR164518	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164518/ERR164518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164518/ERR164518_2.fastq.gz
PRJEB2784	SAMEA1499258	ERS158775	ERX140396	ERR164519	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164519/ERR164519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164519/ERR164519_2.fastq.gz
PRJEB2784	SAMEA1499223	ERS158776	ERX140397	ERR164520	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164520/ERR164520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164520/ERR164520_2.fastq.gz
PRJEB2784	SAMEA1499370	ERS158777	ERX140398	ERR164521	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164521/ERR164521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164521/ERR164521_2.fastq.gz
PRJEB2784	SAMEA1499344	ERS158778	ERX140399	ERR164522	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164522/ERR164522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164522/ERR164522_2.fastq.gz
PRJEB2784	SAMEA1499320	ERS158779	ERX140400	ERR164523	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164523/ERR164523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164523/ERR164523_2.fastq.gz
PRJEB2784	SAMEA1499270	ERS158780	ERX140401	ERR164524	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164524/ERR164524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164524/ERR164524_2.fastq.gz
PRJEB2784	SAMEA1499297	ERS158781	ERX140402	ERR164525	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164525/ERR164525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164525/ERR164525_2.fastq.gz
PRJEB2784	SAMEA1499231	ERS158782	ERX140403	ERR164526	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164526/ERR164526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164526/ERR164526_2.fastq.gz
PRJEB2784	SAMEA1499255	ERS158783	ERX140404	ERR164527	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164527/ERR164527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164527/ERR164527_2.fastq.gz
PRJEB2784	SAMEA1499244	ERS158784	ERX140405	ERR164528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164528/ERR164528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164528/ERR164528_2.fastq.gz
PRJEB2784	SAMEA1499350	ERS158785	ERX140406	ERR164529	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164529/ERR164529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164529/ERR164529_2.fastq.gz
PRJEB2784	SAMEA1499363	ERS158786	ERX140407	ERR164530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164530/ERR164530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164530/ERR164530_2.fastq.gz
PRJEB2784	SAMEA1499317	ERS158787	ERX140408	ERR164531	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164531/ERR164531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164531/ERR164531_2.fastq.gz
PRJEB2784	SAMEA1499340	ERS158788	ERX140409	ERR164532	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164532/ERR164532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164532/ERR164532_2.fastq.gz
PRJEB2784	SAMEA1499336	ERS158789	ERX140410	ERR164533	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164533/ERR164533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164533/ERR164533_2.fastq.gz
PRJEB2784	SAMEA1499343	ERS158790	ERX140411	ERR164534	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164534/ERR164534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164534/ERR164534_2.fastq.gz
PRJEB2784	SAMEA1499365	ERS158791	ERX140412	ERR164535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164535/ERR164535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164535/ERR164535_2.fastq.gz
PRJEB2784	SAMEA1499234	ERS158792	ERX140413	ERR164536	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164536/ERR164536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164536/ERR164536_2.fastq.gz
PRJEB2784	SAMEA1499253	ERS158793	ERX140414	ERR164537	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164537/ERR164537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164537/ERR164537_2.fastq.gz
PRJEB2784	SAMEA1499279	ERS158794	ERX140415	ERR164538	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164538/ERR164538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164538/ERR164538_2.fastq.gz
PRJEB2784	SAMEA1499263	ERS158795	ERX140416	ERR164539	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164539/ERR164539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164539/ERR164539_2.fastq.gz
PRJEB2784	SAMEA1499282	ERS158796	ERX140417	ERR164540	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164540/ERR164540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164540/ERR164540_2.fastq.gz
PRJEB2784	SAMEA1499311	ERS158797	ERX140418	ERR164541	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164541/ERR164541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164541/ERR164541_2.fastq.gz
PRJEB2784	SAMEA1499321	ERS158798	ERX140419	ERR164542	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164542/ERR164542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164542/ERR164542_2.fastq.gz
